,Date,max_temp,min_temp,avg_temp,temp_departure,HDD,CDD,Precipitation,New Snow,Snow Depth
0,2025-01-27,46.0,19.0,32.5,-1.2,32.0,0.0,0.00,0.0,0
1,2025-01-28,48.0,23.0,35.5,1.7,29.0,0.0,0.00,0.0,0
2,2025-01-29,50.0,27.0,38.5,4.6,26.0,0.0,0.00,0.0,0
3,2025-01-30,57.0,26.0,41.5,7.6,23.0,0.0,0.00,0.0,0
4,2025-02-03,36.0,24.0,30.0,-4.3,35.0,0.0,0.00,0.0,0
5,2025-02-04,51.0,28.0,39.5,5.1,25.0,0.0,0.00,0.0,0
6,2025-02-05,60.0,30.0,45.0,10.4,20.0,0.0,0.00,0.0,0
7,2025-02-06,39.0,32.0,35.5,0.8,29.0,0.0,0.54,0.2,T
8,2025-02-13,35.0,30.0,32.5,-3.3,32.0,0.0,0.27,0.0,2
9,2025-02-17,62.0,30.0,46.0,9.4,19.0,0.0,0.40,0.0,0
10,2025-02-18,39.0,23.0,31.0,-5.8,34.0,0.0,0.00,0.0,0
11,2025-02-20,24.0,19.0,21.5,-15.7,43.0,0.0,T,T,0
12,2025-02-24,50.0,27.0,38.5,0.4,26.0,0.0,0.00,0.0,0
13,2025-02-25,56.0,30.0,43.0,4.7,22.0,0.0,0.00,0.0,0
14,2025-02-26,65.0,30.0,47.5,9.0,17.0,0.0,0.00,0.0,0
15,2025-02-27,65.0,37.0,51.0,12.2,14.0,0.0,T,0.0,0
16,2025-03-05,62.0,39.0,50.5,10.2,14.0,0.0,0.0,0.0,0.0
17,2025-03-06,60.0,42.0,51.0,10.4,14.0,0.0,0.72,0.0,0.0
18,2025-03-11,65.0,30.0,47.5,5.5,17.0,0.0,0.0,0.0,0.0
19,2025-03-24,56.0,40.0,48.0,1.7,17.0,0.0,0.02,0.0,0.0
20,2025-03-25,58.0,44.0,51.0,4.4,14.0,0.0,0.03,0.0,0.0
21,2025-03-27,51.0,27.0,39.0,-8.4,26.0,0.0,0.0,0.0,0.0
22,2025-03-31,80.0,61.0,70.5,21.7,0.0,6.0,0.0,0.0,0.0
23,2025-04-03,58.0,44.0,51.0,1.0,14.0,0.0,0.01,0.0,0.0
24,2025-04-08,44.0,36.0,40.0,-11.9,25.0,0.0,0.33,0.0,0.0
25,2025-04-09,47.0,26.0,36.5,-15.8,28.0,0.0,0.00,0.0,0.0
26,2025-04-10,53.0,38.0,45.5,-7.1,19.0,0.0,0.00,0.0,0.0
27,2025-04-14,61.0,42.0,51.5,-2.6,13.0,0.0,T,0.0,0.0
28,2025-04-21,74.0,54.0,64.0,7.4,1.0,0.0,0.00,0.0,0.0
29,2025-04-22,74.0,55.0,64.5,7.6,0.0,0.0,0.00,0.0,0.0
30,2025-04-23,78.0,45.0,61.5,4.2,3.0,0.0,0.00,0.0,0.0
31,2025-04-24,77.0,46.0,61.5,3.9,3.0,0.0,0.00,0.0,0.0
